item_name,item_description,id
it hardware,hp zbook 15 mobile workstation z15,526
f5svcbigprel13 bigip service,f5svcbigprel13 bigip service,527
dsh ab366 pro tem alj services,contractor will provide services as a pro tem administrative law judgeduring dsh ab366 hearings,528
80211n ap low profile mounting bracketdefault ,airapbracket1,529
vegatables,vegatables,530
156 led fhd sva ag f cam 15,156 led fhd sva ag f cam 15,531
air filter,air filter 20x25x2,532
various medical items,medical glovesadult diapers ice packsgauzesyringesetc,533
amendment 1,add 1 year and allocate funds according to actual usage,534
meter rental and service,postage meter rental and maintenance,535
base tape library,base tape library,536
ammunition,ammunition,537
custom self inking stamp blk#shap11,custom self inking stamp blk#shap11,538
fuel for equip 18r084,fuel for equip 18r084,539
fuel for equip 15r073,fuel for equip 15r073,540
3 yeardata analysis subscription,3 yeardata analysis subscriptiondata analyst team upgrade fromdata analystnamed user term 06 01 201405 31 2017,541
staff interpreting,interpreting svcs for staff,542
rack mount switch 24 10 100bt,rack mount switch 24 10 100bt,543
food service supplies,food service supplies,544
microfilm supplies,microfilm supplies,545
tire chains,tire size 175r251600r20,546
fuel for equip 14r285,fuel for equip 14r285,547
parking lot maintenance and repairs,maintenance and repairs for lot 14 1517 13th streetsacramentoca 95814,548
3 minus,3 minus,549
waveguide extension,waveguide extension,550
716liebert maintenance annual renewal,battery backup maintenance support,551
expert witness,withheldsome or all of the information in this contract is exemptfrom disclosureif you need informationcontact department,552
mulch,mulch,553
inputaccel scanplus module sw support,emc serverinputaccel scanplus module contract #63364961d termed to 1 30 2015,554
black eyed beans,black eye beans,555
ca recycle fee,recycle fee,556
newspaper,newspaper,557
portable toilet rental,portable toilet rental,558
applesauce,applesauce,559
rubber cord,1 8 diameter10,560
poultry,poultry bolognacheese,561
contract,health careers workshop,562
billy goat mfr model # qv900hsp,billy goat mfr model # qv900hsp,563
fire alarm systems maintenance and services,fire alarm systems maintenance and services,564
onsite shredding of documents,contractor will provide onsite purging of files for the dlse offices innorthern california,565
beach restoration grant,robert crown memorial state beach,566
spinachchopped,spinachchopped,567
gasket motor air cooler,gasket motor air cooler,568
copier maintenance and repair,copier maintenance and repair service,569
fastenerbrassroundhead 1,fasternerbrassroundhead,570
cap,caps,571
code bl 634 poultry jalapeno w cheese,code bl 634 poultry jalapeno w cheese,572
rbans,rec fmsa2525 pkg,573
think tank photo skin body bagblack ,think tank photo skin body bagblack ,574
lexmark mx711,copier,575
densitometer xrite exact standard model,densitometer xrite exact standard model,576
ear buds,ear buds,577
peaches,peaches,578
it sevices software maintenance,it servicessoftware maintenance,579
propane gas,propane gas,580
vehicle maintenance,vehicle maintenance,581
sleeve 3 8,brass,582
bosch sr 5mp lens pak,bosch sr 5mp lens pak,583
staticide wipes #8965519,staticide wipes #8965519,584
sas training points,sas training points,585
pudding,pudding,586
almondsnatural whole single serve packets,almondssingle serve packetswhole natural,587
razor,razor,588
disposal services,waste removal at various locations supporting going fireeilercashu 006933,589
cereal,cereal,590
traffic sign,traffic sign,591
medical supplies,strecher dressings,592
park benchesbasic oak,custom made park benchesmexican erabasic oak historically acurate to the mid1800s time period of old town san diegoshpand ada compliant,593
photocopier,photocopier,594
fresh produce,fresh produce,595
fire engine,fire engine rental on going fire,596
software maintenance,globalscape dmz gateway single site serverproduction standard maintenance1 year,597
insertion unit,document insertion unit,598
fuel used on robbers incident,fuel used by fire suppression equipment on the robbers incident,599
gascalibration,gascalibration,600
service contract,sitecharles cain company inc,601
provide expert testimony,provide expert testimony,602
cc12030,ergonomic keyboard for ee,603
fence,fence,604
title iii vii services,title iii vii services,605
syrupmaple2 oz sf200 case,syrupmaple2 oz sf200 case,606
cooper infrared probe thermometers,cooper infrared probe thermometers,607
unarmed security guard services,security guard services,608
software,microsoft sql server std 2012 sngl mvl,609
various dental supplies,clean stream evacuationmidwest 7801pano xray apronsfinger spreaders,610
hp perf insight 250 node software eltu,hp perf insight 250 node software eltu,611
stew,beef stewchili,612
plasma cuttercart,plasma cuttercarthand dryergeneratortransfer switch,613
platetopblk ,platetopblk ,614
jigsaw 120v,jigsaw 120v,615
paint,paint,616
gloves,94430 nitrile glovesin various sizes,617
direct service,providing drug medical services to eligible medical beneficiaries,618
installationnontaxable ,installationnontaxable ,619
coordinates the raising salmonsteelhead trout in the classroom project,rural human services is a nonprofit organization in crescent citywith a natural resource program that operates the raisingsalmon and steelhead trout in the classroom program throughoutdel norte countywith authorization from the californiadepartment of fish and wildlifethis program will bring the eggs ofchinook salmon or steelhead trout to 1620 classrooms at a minimum of8 schools for approximately 400 students in preschool through12th grade to observe and hatchthe eggs will beincubated in aquariums in the classrooms which mimic ideal naturalstream conditionsand after they hatchthe students will bring thefry back to their natal streamrowdy creekwhich feeds into theundammed smith riverand release them,620
texas toast,bread texas toastegg bread loaves,621
toner cartridges,various hp toner ink cartridges,622
gatorade,gatorade drinks,623
fuel for equip 06s136,fuel for equip 06s136,624
physicians orders formcdc7221,physicians orders formcdc7221,625
minor btree removal,minor b tree removal,626
sharp copier and 60 months maintenance agreement,sharp copier and 60 months maintenance agreement,627
fire hose,fire hose 15x 100,628
gloves,1 5 cs glovesvinylsizelarge#0178 2815 14075 2 20 cs glovesnitrile size small#0946 4928 98560 3 20 cs glovesnitrile size medium#0947 4928 98560 4 20 cs glovesnitrile size large#,629
damage repair,repair damage from roll over,630
lg team member,lg team member,631
symantec ghost solition suite license,licenses,632
state comp insurance,amend to extend terma and add funds,633
contract,medical training,634
repair generator,replace transfer switch in generator,635
12blkcat6 patch cords bootless,12blkcat6 patch cords,636
printing,imprint envelopes e7620 and deliver to oakland branch,637
grenadeinstantaneous blast oc,cancel line item,638
5 point medical restraints,5 point medical restraints,639
canned fruit,canned fruit,640
conduits material,electric conduits,641
automotive supplies,spray bottleplasticemptycomplete with trigger sprayerquart size ref brand tolco #120125110246ess # 32922arnoldmodel # 92700,642
medical supplies,disposable briefslpk of 12 #pu2186 medline maxorb extra ag silver alginate shield and protect wipe hygea pdi ,643
refuse and recycling collection services,contractor to provide the california science center all materials suppliesequipment and labor necessary to perform refuse and recyclingcollection services,644
order #13mk0502se,batching miscellaneous food contract vendor invoices for payment,645
cyan print cartridge fcp6015 cm6040 mfp,cyan print cartridge fcp6015,646
bar code ribbon,bar code ribbon,647
pants arc flash,pants arc flash,648
electric powered ventilatorvar speed ,electric powered ventilatorvar speed ,649
steno books6x9papercolorwhite,steno books6x9papercolorwhite,650
2 boxes250 envelopes per boxstd 117 interagency messenger serviceimsen,2 boxes250 envelopes per boxstd 117 interagencymessenger serviceimsenvelope,651
recycling fee,recycling feestate ,652
amendment 110 flex,this amendment adds 10 budget adjustment language to exhibit bbudgetdetail and payment provisions no additional funds are being added,653
legal representation,legal representation,654
fuel for equip 48s002,fuel for equip 48s002,655
lagoon monitoring project,field study and monitoring,656
post certified marine law enforcement training,inland boat operator training,657
tshirt men 3xlarge,tshirt men 3xlarge 4301000070 4th qt,658
tape n tell,yellowec moore,659
concrete,concrete,660
laminate tape,laminate tape,661
gas cylindergases,gas cylindergases,662
refrigerator 17 cu ft,#ava shp1700w,663
consultation,consultation,664
auto speed scrub,auto speed scrub,665
provide newborn and prenatal screening tests,provide newborn and prenatal screening tests,666
flow through tailgate,flow through tailgate,667
auto return gas cyllift 500 # n71522# 500 3421,auto return gas cyllift 500 # n71522# 500 3421,668
tape,scotch tape10 rollsmagic tape value pk,669
ford police interceptorsedan,ford police interceptorsedan with 37l v6 ffv tivcgt engine305hp279lbft,670
the home book,the home book,671
matlabmldwl ,matlabmldwl ,672
paper,paper,673
chromeleon upgrade,chromeleon upgrade,674
post it notes,notes,675
manhattan mid back engonomic chairebony,manhattan mid back engonomic chairebony,676
tire stock for shop,tire stock for shops,677
adminhrb,standby protective services duties and assist wworkplace violence issues,678
printing plates,printing press,679
a2amended for time and money,amended for time and money,680
fuel for equip 15r105,fuel for equip 15r105,681
stanford hospitals and clinics,extends the term for confirmatory laboratory services,682
plumbing repairs,services provided for the chp san jose area office,683
fy 13 14 industrial gases for owner tank,fy 13 14 industrial gases for owner tank,684
mulch,ca gold mulch sta stonewood,685
water conservation,water conservation,686
jevity supplement 1 cal 8 oz 00143,jevity supplement 1 cal 8 oz 00143,687
canned goods,canned goods,688
input module,input module,689
sit to stand desk with modesty panel,sit to stand desk with modesty panel,690
limited slip rear axle,limited slip rear axle,691
fuel for equip 07s035,fuel for equip 07s035,692
local assistance subvention,to facilitate local capacity for the preventioncontrol of ct and stds,693
tents,tents to support incident base on the swedes fire cabtu010969,694
energizer alkaline battery aa,alkaline battery,695
tee14 standard wall black steel,tee14 standard wall black steel,696
polygraph services,the contractor will provide dshc with onsite polygraph services asneeded and required,697
8gb usb,usb,698
chairs,manhattan midback chairslate,699
1125 kva 3 phase padmounted transformer,1125 kva 3 phase padmounted transformer,700
staplerdeskantimcrobk,staplerdeskantimcrobk,701
sterile non adhering dressing3 x 4,sterile non adhering dressing3 x 4,702
appliance,appliance,703
confidential,confidential,704
crackers,1 130 cs 7978348043 crackerscheese 93oz pack 1903 2 473902 130 cs 7978348045 crackers peanut butter 93 oz 1903 2 47390,705
4252519 interocan safety iv cath22g,4252519 interocan safety iv cath22g,706
food safe plastic bags,food safe plastic bags,707
relay aux lockout125vt dc,relay aux lockout125vt dc,708
